Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Khost : Wilayat - Province,U,I,0,0,0,7,0,0,7,5,0,0,5,0,0,10,17
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kunar : Wilayat - Province,R,I,0,0,0,5,0,0,5,6,0,0,0,0,0,6,11
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kunduz : Wilayat - Province,R,I,6,5,5,15,0,0,31,5,5,5,19,0,0,34,65
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kunduz : Wilayat - Province,U,I,5,5,7,13,0,0,30,5,0,8,15,5,0,33,63
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Laghman : Wilayat - Province,R,I,0,0,0,7,0,0,7,0,0,0,0,0,0,0,7
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Laghman : Wilayat - Province,U,I,0,0,0,7,0,0,7,0,0,0,9,0,0,9,16
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Logar : Wilayat - Province,R,I,0,0,0,6,0,0,6,0,0,7,8,0,0,15,21
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Logar : Wilayat - Province,U,I,0,0,0,8,0,0,8,0,0,6,0,0,0,6,14
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Nangarhar : Wilayat - Province,R,I,5,10,7,18,0,0,40,5,6,9,17,0,0,37,77
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Nangarhar : Wilayat - Province,U,I,0,0,5,0,0,0,5,0,5,0,0,0,0,5,10
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Paktia : Wilayat - Province,R,I,0,0,0,5,0,0,5,0,0,5,0,0,0,5,10
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Parwan : Wilayat - Province,R,I,0,0,0,8,0,0,8,0,0,0,7,0,0,7,15
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Samangan : Wilayat - Province,R,I,0,5,0,6,0,0,11,0,0,5,6,0,0,11,22
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Sar-e Pol : Wilayat - Province,R,I,38,22,15,35,0,0,110,44,9,10,47,6,0,116,226
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Sar-e Pol : Wilayat - Province,U,I,24,15,7,21,0,0,67,26,8,11,41,5,0,91,158
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Takhar : Wilayat - Province,R,I,0,0,0,7,0,0,7,9,0,0,0,0,0,9,16
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Takhar : Wilayat - Province,U,I,0,9,0,0,0,0,9,0,0,8,0,0,0,8,17
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Wardak : Wilayat - Province,R,I,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Wardak : Wilayat - Province,U,I,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Zabul : Wilayat - Province,R,I,7,8,0,7,0,0,22,6,5,0,11,0,0,22,44
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Zabul : Wilayat - Province,U,I,0,9,0,0,0,0,9,8,0,0,7,0,0,15,24
2020,BEN,AFG,Benin,Afghanistan,ASY,Kabul : Wilayat - Province,U,I,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2020,IRN,AFG,Iran (Islamic Republic of),Afghanistan,ASY,Herat : Wilayat - Province,U,I,0,0,0,0,0,0,0,0,0,5,5,0,0,10,10
2020,IRN,AFG,Iran (Islamic Republic of),Afghanistan,ASY,Kabul : Wilayat - Province,U,I,0,0,0,8,0,0,8,0,0,0,8,0,0,8,16
2020,IRN,AFG,Iran (Islamic Republic of),Afghanistan,REF,Herat : Wilayat - Province,U,I,0,0,0,9,0,0,9,0,0,0,12,5,0,17,26
2020,IRN,AFG,Iran (Islamic Republic of),Afghanistan,REF,Kabul : Wilayat - Province,U,I,0,0,0,5,0,0,5,0,0,0,6,0,0,6,11
2020,PAK,AFG,Pakistan,Afghanistan,ASY,Kabul : Wilayat - Province,U,I,17,19,5,31,0,0,72,6,20,14,24,0,0,64,136
2020,PAK,AFG,Pakistan,Afghanistan,REF,Kabul : Wilayat - Province,U,I,0,5,9,39,0,0,53,7,16,8,28,0,0,59,112
2020,PAK,AFG,Pakistan,Afghanistan,REF,Kandahar : Wilayat - Province,U,I,0,8,0,0,0,0,8,0,0,0,0,0,0,0,8
2020,PAK,AFG,Pakistan,Afghanistan,REF,Khost : Wilayat - Province,R,I,1756,2633,1170,3474,146,0,9179,1463,2999,914,2745,37,0,8158,17337
2020,PAK,AFG,Pakistan,Afghanistan,REF,Khost : Wilayat - Province,R,P,1201,1246,795,2579,298,0,6119,1083,1211,739,1968,430,0,5431,11550
2020,PAK,AFG,Pakistan,Afghanistan,REF,Khost : Wilayat - Province,U,I,822,590,443,1833,211,0,3899,864,590,358,1328,190,0,3330,7229
2020,PAK,AFG,Pakistan,Afghanistan,REF,Paktika : Wilayat - Province,R,I,3737,3878,2474,8026,929,0,19044,3370,3770,2301,6125,1339,0,16905,35949
2020,TUR,AFG,Türkiye,Afghanistan,REF,Kabul : Wilayat - Province,U,I,5,6,0,13,0,0,24,9,5,6,12,0,0,32,56
